end_time,Bush,Carson,Christie,Cruz,Fiorina,Huckabee,Kasich,Paul,Rubio,Santorum,Trump
2015-02-15,0.12,0.09,0.07,0.03,0.01,0.17,0.02,0.11,0.06,0.02,
2015-02-23,0.16,0.06,0.07,0.05,0.0,0.1,0.01,0.1,0.08,0.02,
2015-03-02,0.16,0.07,0.08,0.06,,0.08,0.01,0.06,0.05,0.02,
2015-03-15,0.16,0.09,0.07,0.04,0.0,0.1,0.02,0.12,0.07,0.01,
2015-03-19,0.16,0.095,0.07,0.09,0.02,0.065,0.02,0.095,0.07,0.035,0.01
2015-03-20,0.17,0.11,0.08,0.09,0.01,0.06,,0.1,0.08,0.03,0.02
2015-03-21,0.17,0.1,0.08,0.09,0.01,0.08,,0.11,0.07,0.04,0.04
2015-03-22,0.18,0.11,0.07,0.1,0.01,0.09,,0.1,0.06,0.04,0.05
2015-03-23,0.15500000000000003,0.10500000000000001,0.065,0.095,0.02,0.065,0.02,0.060000000000000005,0.060000000000000005,0.025,0.06
2015-03-24,0.17,0.11,0.07,0.09,0.01,0.09,,0.08,0.06,0.04,0.06
2015-03-25,0.16,0.14,0.05,0.09,0.01,0.12,,0.07,0.05,0.05,0.06
2015-03-26,0.15,0.15,0.05,0.13,0.01,0.11,,0.05,0.07,0.03,0.04
2015-03-27,0.16,0.12,0.07,0.13,0.0,0.1,,0.07,0.06,0.04,0.03
2015-03-28,0.17,0.1,0.08,0.14,0.0,0.11,,0.07,0.05,0.04,0.03
2015-03-29,0.19,0.075,0.08,0.13,0.005,0.095,0.01,0.07500000000000001,0.07,0.025,0.03
2015-03-30,0.18,0.07,0.1,0.13,0.0,0.11,,0.08,0.06,0.03,0.03
2015-03-31,0.155,0.08499999999999999,0.075,0.115,0.01,0.095,0.01,0.08499999999999999,0.065,0.025,0.035
2015-04-01,0.18,0.05,0.12,0.12,0.01,0.1,,0.08,0.05,0.03,0.04
2015-04-02,0.135,0.060000000000000005,0.08,0.11499999999999999,0.015,0.105,0.01,0.065,0.060000000000000005,0.015,0.05500000000000001
2015-04-03,0.22,0.03,0.1,0.14,0.02,0.11,,0.05,0.06,0.03,0.02
2015-04-04,0.24,0.04,0.07,0.16,0.01,0.09,,0.04,0.06,0.03,0.03
2015-04-05,0.23,0.05,0.06,0.17,0.02,0.09,,0.07,0.07,0.03,0.01
2015-04-06,0.2,0.06,0.08,0.16,0.01,0.1,,0.06,0.08,0.02,0.01
2015-04-07,0.2,0.07,0.07,0.18,0.02,0.09,,0.07,0.06,0.03,0.02
2015-04-08,0.17,0.08,0.07,0.17,0.02,0.09,,0.07,0.07,0.03,0.02
2015-04-09,0.15,0.08,0.08,0.16,0.03,0.1,,0.08,0.07,0.03,0.01
2015-04-10,0.16,0.07,0.08,0.15,0.02,0.09,,0.08,0.07,0.03,0.01
2015-04-11,0.17,0.06,0.07,0.17,0.04,0.08,,0.1,0.05,0.03,0.02
2015-04-12,0.18,0.07,0.09,0.14,0.04,0.07,,0.12,0.04,0.02,0.02
2015-04-13,0.15,0.07500000000000001,0.06,0.13,0.04,0.065,0.02,0.135,0.060000000000000005,0.02,0.02
2015-04-14,0.17,0.06,0.08,0.12,0.03,0.09,,0.15,0.06,0.02,0.03
2015-04-15,0.15,0.06,0.08,0.13,0.03,0.09,,0.17,0.08,0.02,0.03
2015-04-16,0.15,0.07,0.08,0.12,0.02,0.1,,0.15,0.09,0.02,0.03
2015-04-17,0.13,0.05,0.09,0.12,0.02,0.08,,0.18,0.11,0.03,0.02
2015-04-18,0.14,0.06,0.09,0.15,0.01,0.07,,0.14,0.09,0.05,0.02
2015-04-19,0.165,0.06,0.05500000000000001,0.115,0.015,0.08499999999999999,0.02,0.12,0.10500000000000001,0.045,0.01
2015-04-20,0.13,0.095,0.065,0.145,0.02,0.060000000000000005,0.01,0.1,0.09,0.034999999999999996,0.01
2015-04-21,0.12,0.05666666666666667,0.06333333333333334,0.11333333333333333,0.016666666666666666,0.07333333333333333,0.02,0.09666666666666668,0.12,0.023333333333333334,0.035
2015-04-22,0.16,0.09,0.05,0.14,0.03,0.07,,0.09,0.07,0.03,0.03
2015-04-23,0.14,0.08,0.06,0.14,0.04,0.08,,0.11,0.09,0.02,0.03
2015-04-24,0.13,0.07,0.05,0.11,0.03,0.07,,0.12,0.15,0.01,0.05
2015-04-25,0.14,0.06,0.06,0.1,0.02,0.07,,0.12,0.17,0.02,0.06
2015-04-26,0.14,0.06,0.06,0.11,0.01,0.09,,0.11,0.17,0.02,0.05
2015-04-27,0.115,0.060000000000000005,0.055,0.09,0.015,0.075,0.02,0.09,0.18,0.015,0.05
2015-04-28,0.14,0.07,0.05,0.13,0.01,0.1,,0.09,0.19,0.01,0.05
2015-04-29,0.14,0.07,0.07,0.14,0.02,0.11,,0.08,0.16,0.01,0.03
2015-04-30,0.12,0.08,0.07,0.14,0.02,0.12,,0.07,0.14,0.01,0.02
2015-05-01,0.1,0.07,0.07,0.12,0.02,0.15,,0.07,0.16,0.01,0.02
